id,question,answer
1,What is a home loan?,A home loan is a secured loan used to buy or construct a residential property.
2,What is a personal loan?,A personal loan is an unsecured loan used for personal financial needs.
3,What is an education loan?,"An education loan helps students finance higher studies, often with deferred repayment."
4,What is a car loan?,A car loan is a secured loan taken to purchase a vehicle.
5,What is EMI?,EMI is the fixed monthly amount a borrower pays to repay a loan.
6,What is loan tenure?,Loan tenure is the total duration agreed upon for repaying a loan.
7,What is a fixed interest rate?,A fixed interest rate remains unchanged throughout the loan tenure.
8,What is a floating interest rate?,A floating interest rate varies based on market benchmark rates.
9,What is credit score?,A credit score reflects an individual’s creditworthiness based on repayment history.
10,What is credit report?,A credit report is a detailed record of an individual’s borrowing and repayment behavior.
11,What is collateral?,Collateral is an asset pledged to secure a loan.
12,What is unsecured loan?,An unsecured loan does not require any collateral from the borrower.
13,What is secured loan?,A secured loan requires the borrower to pledge an asset as security.
14,What is loan foreclosure?,Loan foreclosure is paying off the entire loan before its scheduled end date.
15,What is prepayment penalty?,A prepayment penalty is a charge for repaying a loan earlier than agreed.
16,What is loan default?,Loan default occurs when scheduled repayments are not made on time.
17,What is moratorium period?,A moratorium period allows temporary suspension of loan repayments.
18,What is principal amount?,Principal is the original amount borrowed from the lender.
19,What is interest amount?,Interest is the cost charged by the lender for lending money.
20,What is loan disbursement?,Loan disbursement is the release of approved loan funds to the borrower.
21,What is a guarantor?,A guarantor agrees to repay the loan if the borrower fails to do so.
22,What is co-applicant?,A co-applicant shares responsibility for loan repayment.
23,What is balance transfer?,Balance transfer allows shifting a loan to another lender with better terms.
24,What is loan refinancing?,Loan refinancing replaces an existing loan with a new one under revised conditions.
25,What is processing fee?,A processing fee is charged by lenders to cover loan administration costs.
26,What is loan sanction?,Loan sanction is the lender’s formal approval of a loan amount.
27,What is loan eligibility?,Loan eligibility determines how much a borrower can obtain based on income and credit profile.
28,What is debt-to-income ratio?,Debt-to-income ratio compares monthly debt payments to income.
29,What is amortization?,Amortization is the gradual repayment of loan principal over time.
30,What is loan restructuring?,Loan restructuring modifies repayment terms to help borrowers manage debt.
31,What is overdraft facility?,An overdraft allows withdrawal beyond account balance up to a limit.
32,What is line of credit?,A line of credit allows borrowers to withdraw funds up to a predefined limit.
33,What is interest-only loan?,An interest-only loan requires paying only interest for an initial period.
34,What is balloon payment?,A balloon payment is a large final payment at loan maturity.
35,What is loan EMI bounce?,EMI bounce occurs when a scheduled installment fails due to insufficient funds.
36,What is NPA?,NPA refers to a loan where repayments are overdue beyond a set period.
37,What is CIBIL score?,CIBIL score is an Indian credit score used by lenders to assess risk.
38,What is loan top-up?,A loan top-up allows borrowing additional funds on an existing loan.
